Nazwa,Telefon,Adres,"Godziny otwarcia","Strona internetowa","Opinia 1","Opinia 2","Opinia 3","Opinia 4","Opinia 5","Opinia 6",Typ,"Wysokość cen",Latitude,Longitude
"Warsaw Jewelry No. 2","504 497 879","Piwna 15, 00-256 Warszawa, Polska","poniedziałek: 11:00–18:00, wtorek: 11:00–18:00, środa: 11:00–18:00, czwartek: 11:00–18:00, piątek: 11:00–18:00, sobota: 11:00–18:00, niedziela: 11:00–18:00",https://www.facebook.com/warsawjewelery/,"Absolutnie fantastyczny sklep z wyjątkową biżuterią. Oferują produkty z owadami, co jest bardzo rzadkie! Naprawdę dobry stosunek jakości do ceny, cudowni właściciele, zawsze chętni do pomocy. Świetne miejsce turystyczne, """"must see"""" w Warszawie 😊 Choć na Piwnej jest duży wybór sklepów z biżuterią, to ten sklep jest zdecydowanie najlepszy, ponieważ posiada unikatowe produkty, których nie można znaleźć nigdzie indziej.  Poleciłem już to miejsce moim przyjaciołom i rodzinie i wszyscy je uwielbiają. Zasługuje na więcej niż 5 gwiazdek! ❤️✨  Niestety google nie pozwala mi dodać zdjęcia, ale warto to sprawdzić osobiście!! ☑️","To ukryty sklep z biżuterią! Przestronny piękny sklep w środku, którego nie można było zauważyć z zewnątrz. Istnieje wiele rodzajów nowoczesnych bursztynowych dodatków :) Mają też bursztyn z OWADAMI, myślę, że jest tak rzadki, ale naprawdę dobra cena. Mogłem znaleźć wiele pamiątek dla przyjaciół i spędzić miło czas ze sprzedawcą tutaj? Zdecydowanie polecam ten sklep z bursztynem 😊 jest obok szkatułki, inny sklep.","Świetne wybory dla każdego. Najlepsza usługa, jaką mogłem mieć",,,,"jewelry_store, store, point_of_interest, establishment",,52.248518,21.0120629
"Szymański Gold-Shop Sp.J.","502 322 206","obok sklepu """"Zegarki, Krucza 46, 00-509 Warszawa, Polska","poniedziałek: 11:00–16:00, wtorek: 11:00–16:00, środa: 11:00–16:00, czwartek: 11:00–16:00, piątek: 11:00–16:00, sobota: Zamknięte, niedziela: Zamknięte",https://gold-shop.pl/,"Top !!!  Firma Top !!! 5 gwiazdek !!!","Polecam, jestem bardzo zadowolona",,,,,"jewelry_store, finance, point_of_interest, store, establishment",,52.2303189,21.0169111
Major'Elle,"666 017 255","Gate G, al. Jana Pawła II 80, 00-175 Warszawa, Polska",,https://majorelle.pl/,"Moja dziewczyna była bardzo zadowolona z prezentu :)","Przepiękna i świetnej jakości biżuteria, bardzo polecam!","Ładny :)",,,,"jewelry_store, point_of_interest, store, establishment",,52.253984,20.984017
"BELLER - Sklep jubilerski z biżuterią ekskluzywną","731 091 091","Mokotowska 71, 00-530 Warszawa, Polska","poniedziałek: 11:00–19:00, wtorek: 11:00–19:00, środa: 11:00–19:00, czwartek: 11:00–19:00, piątek: 11:00–19:00, sobota: 11:00–19:00, niedziela: 11:00–15:00",https://www.beller.pl/,"Długo szukałem pierścionka zaręczynowego. Po kilku nieudanych wizytach w różnych sklepach jubilerskich przeniosłem poszukiwania do sieci. Chciałem odejść od tradycyjnego """"pierścionka z diamentem"""". Chciałem żeby było nowocześnie, niekrzykliwie i wysokiej jakości - piękno dyskretne, które można będzie nosić do wieczorowej sukienki oraz do lnianych spodenek na wakacjach. Nie znalazłem drugiego miejsca, które tak celnie trafiło w moje oczekiwania. Zakupu dokonałem przez internet, kontakt bardzo sprawny. Po zakupie trzeba było pierścionek zmniejszyć - właśnie przyszedł po przeróbkach, wszystko jest jak należy. Obsługa klienta 5/5, oferta to kwestia gustu - dla mnie jest wyjątkowa. Pozdrawiam","Gratulacje dla właścicieli za pomysł i realizację butikowego sklepu jubilerskiego. Bardzo ciekawa oferta, subtelna i zaskakujące pomysły, szczególnie na specjalne okazje. Niestandardowe wzory biżuterii i zachwycające kamienie, w rzadko spotykanych odcieniach. Nie jest to kolejny massmarket'owy jubiler. Tak trzymać i powodzenia! Pozdrowienia dla obsługi sklepu przy Mokotowskiej:)","Gorąco polecam wizytę w salonie BELLER. Kupiłam kilka drobiazgów. Nie tylko one okazały się cenne ale i spotkanie z pracującymi w salonie osobami. Panie mają nienaganne maniery i znakomicie znają się na sztuce jubilerskiej. Biżuteria cechuje się estetyką i precyzją wykonania oraz wysoką jakością. Salon prezentuje też bardzo elastyczne podejście do potrzeb klienta.","W porównaniu do konkurencji z bliskiej okolicy obsługa jest zawsze chętna do pomocy. Potrafią poświecić czas, czasem duuużo czasu, aby dobrać produkt do naszych potrzeb. Samo wykonanie biżuterii oraz dostawa i opakowania 5/5. Polecam",,,"jewelry_store, store, point_of_interest, establishment",,52.2275067,21.0223316
"ZL Jewelry","730 434 000","Marszałkowska 64, 00-544 Warszawa, Polska","poniedziałek: 10:00–19:00, wtorek: 10:00–19:00, środa: 10:00–19:00, czwartek: 10:00–19:00, piątek: 10:00–19:00, sobota: 10:00–19:00, niedziela: Zamknięte",http://zl.jewelry/,"Wyrażam ogromną wdzięczność całemu zespołowi ZL oraz szczególne podziękowania dla mistrzów jubilerów za wysokiej jakości wykonanie mojego zamówienia. Polecam ten zakład jubilerski każdemu, kto chce zamówić tutaj biżuterię.","Polecam. Przyszedłem z konkretnym zamówieniem na naszyjnik. Był wykonany w odpowiedni termin, z dokładnością. Każdy drobiazg był uzgadniany ze mną.","Polecam. Duży wybór i indywidualne podejście.","Polecam. Przyjemny kontent ))","Chersoń 💔 Pierwszą biżuterią była pełnowymiarowa damska bransoletka! To było chyba 7 lat temu, może więcej. Pracowałeś także w centrum handlowym Fabrika Nawet wtedy tworzyłaś niewiarygodnie piękną designerską biżuterię i mogłeś stworzyć produkt o absolutnie dowolnej złożoności. Potem ponownie zwróciliśmy się do was o obrączki. Już w Twoim pięknym sklepie firmowym. I znowu świetna robota. Byliśmy bardzo zadowoleni zarówno ze współpracy, jak i efektu! Można zrobić wszystko, do czego wystarczy tylko wyobraźnia i chęć klientki 😍 Dziękuję ! Życzymy ZL Jewelry więcej zadowolonych klientów takich jak my!!!",,"jewelry_store, store, point_of_interest, establishment",,52.2245299,21.0154591
"696 Jewelry Sklep Stacjonarny","517 715 682","Nowogrodzka 44/lok 23, 00-695 Warszawa, Polska","poniedziałek: 13:00–19:00, wtorek: 13:00–19:00, środa: 13:00–19:00, czwartek: 13:00–19:00, piątek: 13:00–19:00, sobota: 12:00–17:00, niedziela: Zamknięte",http://696jewelry.com/,"Najserdeczniej polecam. Piękna, starannie wykonana biżuteria i przemiła obsługa klienta, bardzo skuteczna w rozwiązaniu problemu :) . Dodam, że to już nasze 3 zamówienie z 696, zawsze było bez problemu, biżuteria noszona bez szwanku przez pół roku. Tym razem potrzebna była pomoc obsługi i nie zawiodłam się. 10/10 :))","Śliczna biżuteria, ciężko było mi się zdecydować, jaki ma być mój pierwszy zakup w sklepie. Zamówiłam pozłacane zawieszki do moich łańcuszków. Wykonanie trwało kilka dni, natomiast wysłanie i dostawa były błyskawiczne. Nie rozumiem tych dwóch negatywnych komentarzy, wprowadzają dezinformację. Bardzo miła obsługa on-line i telefoniczna. Zakładam, że obsługa posprzedażowa również będzie satysfakcjonująca ☺️",,,,,"jewelry_store, store, point_of_interest, establishment",,52.228322,21.0091941
"Art Gallery Amber. Silver Line.","22 831 69 61","Rynek Starego Miasta 9/11/13, 00-272 Warszawa, Polska","poniedziałek: 10:00–19:00, wtorek: 10:00–19:00, środa: 10:00–19:00, czwartek: 10:00–19:00, piątek: 10:00–19:00, sobota: 10:00–19:00, niedziela: Zamknięte",http://www.warsawamber.pl/,"Spacer urokliwą Starówką zaprowadził nas wieczorem pod witryny Galerii Amber. Następnego dnia rano wróciliśmy do niej, aby nacieszyć oczy cudami, jakie potrafią stworzyć jedynie dłonie prawdziwych artystów. Przemiła Pani o blond włosach starannie tłumaczyła nam różnice pomiędzy poszczególnymi bursztynami, cierpliwie pokazywała wskazane przez nas modele oraz pomagała w wyborze najlepszego prezentu. Z wielką przyjemnością będę wracać do tego miejsca.","Niestety nic nie kupilem ale obsluga (jak i wlasciciel) byli bardzo mili i chetni do rozmowy. Swietnie wygladajacy sklep z duza kolekcja bizuterii!","Nie ma słów. Najlepszy tego typu punkt usługowy w Warszawie i chyba na Mazowszu.Fachowcy w każdym calu.Super.Nasuwa się pytanie jak to jest jeden potrafi a pozostali są zawsze w tyle.","Ok polecam wszystkim",,,"jewelry_store, store, point_of_interest, establishment",,52.2493355,21.0123971
"Boske by Kat","789 349 937","Emilii Plater 25, 00-688 Warszawa, Polska","poniedziałek: 11:00–19:00, wtorek: 11:00–19:00, środa: 11:00–19:00, czwartek: 11:00–19:00, piątek: 11:00–20:00, sobota: 12:00–18:00, niedziela: Zamknięte",https://www.pakamera.pl/boske-0_s12121203.htm,"Klimatyczny butik z unikalną biżuterią, tworzoną przez lokalną projektantkę. Butik ma piękny wystrój, obsługa jest profesjonalna i pomocna. Wszystkie produkty wykonane zostały z dużą dbałością o detale, a ceny są bardzo rozsądne. Trzeba tam koniecznie zajrzeć podczas wizyty w Warszawie! Bardzo polecam!","Wspaniała,  bardzo pomysłowa biżuteria (i nie tylko). Do tej pory znałem tylko z targów i sklepu online. Salon przyjemnie urządzony, wszystkie rzeczy pięknie wyeksponowane i doświetlone. Jest klimat! A do tego bardzo pomocna, ale w żadnym wypadku nie nachalna, obsługa. Gorąco polecam","Jejku! Jakie to cudowne miejsce!  Sklepik malutki, ale biżuteria jeszcze piękniejsza na żywo niż na IG! A teraz promocja -20% biżuterię ;). Niestety wydałam więcej niż zamierzałam (tanio nie jest), bo podkładki pod kubki wolały do mnie a jak kupicie 2 sztuki to taniej. I jeszcze piękne kartki na różne okazje. Baaaardzo polecam!","Cudowne miejsce, Piekna biżuteria, motywy roślinne inspirowane kwiatami Polski. Wybrałam piękny łańcuszek z zawieszka i wiem ze to nie koniec moich zakupow tam","Bardzo, bardzo, bardzo miła obsługa i codowna biżuteria 🥰",,"jewelry_store, clothing_store, point_of_interest, store, establishment",,52.2253552,21.0069633
UZERAI,"662 980 676","plac Marszałka Józefa Piłsudskiego 2, 00-073 Warszawa, Polska","poniedziałek: 12:00–19:00, wtorek: 12:00–19:00, środa: 12:00–19:00, czwartek: 12:00–19:00, piątek: 12:00–19:00, sobota: 12:00–15:00, niedziela: Zamknięte",http://www.uzerai.com/,"Fantastyczna oferta","Artystyczna, ciekawa i elegancka biżuteria.","DZIĘKI !!!",,,,"jewelry_store, point_of_interest, store, establishment",,52.2421688,21.0117172
"Michelson Diamonds","505 826 828","Śmiała 26, 01-523 Warszawa, Polska","poniedziałek: 10:00–17:00, wtorek: 10:00–17:00, środa: 10:00–17:00, czwartek: 10:00–17:00, piątek: 10:00–20:00, sobota: 12:00–17:00, niedziela: Zamknięte",http://www.michelson.pl/,"Bardzo polecam tę firmę! Pan Paweł i pani Patrycja są bardzo fachowi, pomocni i mają ogromną wiedzę, z którą dzielili się przez cały proces wykonania pierścionka zaręczynowego. Pan Paweł doradził mi w  wyborze odpowiedniego diamentu i następnie wykonał pierścionek, a z panią Patrycją wspólnie go projektowaliśmy. Zdecydowałem się na diament 0,8 ct i diamenty wokół głównego kamienia i był to świetny wybór. Na pewno wrócimy po obrączki!!!","Jestem zachwycony pierścionkiem, którego wykonała dla mnie Pani Patrycja. Bardzo dobry i rzeczowy kontakt ze sprzedawcą - Pani Patrycja szeroko omówiła ze mną projekt i wybór kamieni szlachetnych, przesyłka dotarła do mnie terminowo paczkomatem. Świetny jubiler","Michelson Diamonds Ltd to firma godna polecenia, pozytywnie mnie zaskoczyła. Dokonywałem zamówienia poprzez stronę internetową. Bardzo dobry kontakt telefoniczny jak i poprzez e-mail z Panem Pawłem. Srebrny sygnet wykonany jest z należytą starannością i przykuwa spojrzenie.  Zamówienie dotarło co prawda ze znacznym opóźnieniem, lecz nie zależało mi na czasie więc nie uznaję tego jako błąd. Serdecznie dziękuję i polecam!","Piękna biżuteria, bardzo wysoka jakość, obsługa na wysokim poziomie, polecam serdecznie :-)","W życiu każdego faceta przychodzi taki moment kiedy trzeba postawić sprawę jasno. Dzięki firmie Michelson Diamonds, i jej właścicielowi Pawłowi Jaworskiemu spełniło się moje marzenie o narzeczeństwie!  Wszystko na czas, idealne wykonanie. Łzy szczęścia na twarzy mojej już Narzeczonej są najlepszym podsumowaniem współpracy z wami!  Pozdrawiam z zimnego Kołobrzegu!",,"jewelry_store, store, point_of_interest, establishment",,52.2637721,20.9933773
